operation	language	input_size	time	memory
matmul_naïve	Python	100	115.61408394481987	
matmul_naïve	Python	200	997.5307179847732	
matmul_naïve	Python	400	8918.375120032579	
matmul_naïve	C	100	1.005174	
matmul_naïve	C	200	8.100336	
matmul_naïve	C	400	68.649756	
matmul_naïve	Java	100	7.0	
matmul_naïve	Java	200	19.0	
matmul_naïve	Java	400	130.0	
matmul_naïve	Python	100		1543880
matmul_naïve	Python	200		2263784
matmul_naïve	Python	400		5206088
matmul_naïve	C	100		244128
matmul_naïve	C	200		964128
matmul_naïve	C	400		3844128
matmul_naïve	Java	100		32954136
matmul_naïve	Java	200		32865632
matmul_naïve	Java	400		32967440
matmul_optimized	Python	100	0.26103900745511055	
matmul_optimized	Python	200	0.8778920164331794	
matmul_optimized	Python	400	4.833457060158253	
matmul_optimized	Python	800	25.352683034725487	
matmul_optimized	C	100	3.149009	
matmul_optimized	C	200	1.260906	
matmul_optimized	C	400	4.814606	
matmul_optimized	C	800	42.109591	
matmul_optimized	Java	100	10.0	
matmul_optimized	Java	200	52.0	
matmul_optimized	Java	400	76.0	
matmul_optimized	Java	800	439.0	
matmul_optimized	Python	100		5305392
matmul_optimized	Python	200		6025392
matmul_optimized	Python	400		8905392
matmul_optimized	Python	800		20437488
matmul_optimized	C	100		262608
matmul_optimized	C	200		982608
matmul_optimized	C	400		3862608
matmul_optimized	C	800		15394704
matmul_optimized	Java	100		35623224
matmul_optimized	Java	200		65789056
matmul_optimized	Java	400		68286688
matmul_optimized	Java	800		40662912
sort_stdlib	Python	100		1337280
sort_stdlib	Python	200		1337280
sort_stdlib	Python	400		1337280
sort_stdlib	Python	800		1337280
sort_stdlib	Python	1600		1337248
sort_stdlib	Python	3200		1337248
sort_stdlib	Python	6400		1370640
sort_stdlib	Python	12800		1452688
sort_stdlib	Python	25600		1618288
sort_stdlib	Python	512000		7620080
sort_stdlib	Python	1024000		14065136
sort_stdlib	Python	2000000		26824112
sort_stdlib	Python	4000000		52813232
sort_stdlib	Python	16000000		194973120
sort_stdlib	C	100		4104
sort_stdlib	C	200		4104
sort_stdlib	C	400		6416
sort_stdlib	C	800		12816
sort_stdlib	C	1600		25616
sort_stdlib	C	3200		51216
sort_stdlib	C	6400		102416
sort_stdlib	C	12800		204816
sort_stdlib	C	25600		409616
sort_stdlib	C	512000		8192016
sort_stdlib	C	1024000		16392080
sort_stdlib	C	2000000		32006032
sort_stdlib	C	4000000		64003984
sort_stdlib	C	16000000		256008080
sort_stdlib	Java	100		32778096
sort_stdlib	Java	200		32974992
sort_stdlib	Java	400		32871040
sort_stdlib	Java	800		32776520
sort_stdlib	Java	1600		32869696
sort_stdlib	Java	3200		32888760
sort_stdlib	Java	6400		33307600
sort_stdlib	Java	12800		33268944
sort_stdlib	Java	25600		33361568
sort_stdlib	Java	512000		34412192
sort_stdlib	Java	1024000		36242664
sort_stdlib	Java	2000000		36311512
sort_stdlib	Java	4000000		37675704
sort_stdlib	Java	16000000		40657184
sort_stdlib	Python	100	0.0068980734795331955	
sort_stdlib	Python	200	0.015466008335351944	
sort_stdlib	Python	400	0.02335198223590851	
sort_stdlib	Python	800	0.055160955525934696	
sort_stdlib	Python	1600	0.11803105007857084	
sort_stdlib	Python	3200	0.39154093246906996	
sort_stdlib	Python	6400	0.5419799126684666	
sort_stdlib	Python	12800	1.5280089573934674	
sort_stdlib	Python	25600	2.970803063362837	
sort_stdlib	Python	512000	103.5248989937827	
sort_stdlib	Python	1024000	233.4724199026823	
sort_stdlib	Python	2000000	507.91355199180543	
sort_stdlib	Python	4000000	1056.5019419882447	
sort_stdlib	Python	16000000	5172.427461948246	
sort_stdlib	C	100	0.005463	
sort_stdlib	C	200	0.015097	
sort_stdlib	C	400	0.025763	
sort_stdlib	C	800	0.052535	
sort_stdlib	C	1600	0.105052	
sort_stdlib	C	3200	0.243645	
sort_stdlib	C	6400	0.459968	
sort_stdlib	C	12800	0.995656	
sort_stdlib	C	25600	2.118014	
sort_stdlib	C	512000	54.019169	
sort_stdlib	C	1024000	121.347156	
sort_stdlib	C	2000000	247.763572	
sort_stdlib	C	4000000	544.580251	
sort_stdlib	C	16000000	2403.704301	
sort_stdlib	Java	100	1.0	
sort_stdlib	Java	200	2.0	
sort_stdlib	Java	400	2.0	
sort_stdlib	Java	800	1.0	
sort_stdlib	Java	1600	3.0	
sort_stdlib	Java	3200	4.0	
sort_stdlib	Java	6400	6.0	
sort_stdlib	Java	12800	10.0	
sort_stdlib	Java	25600	13.0	
sort_stdlib	Java	512000	209.0	
sort_stdlib	Java	1024000	481.0	
sort_stdlib	Java	2000000	950.0	
sort_stdlib	Java	4000000	2206.0	
sort_stdlib	Java	16000000	10906.0	
heap	Python	100	1.9873440032824874	
heap	Python	200	9.95146797504276	
heap	Python	400	38.27876900322735	
heap	Python	800	147.1556299366057	
heap	Python	1600	584.0014279820025	
heap	Python	3200	1811.9766110321507	
heap	C	100	0.028591	
heap	C	200	0.08743	
heap	C	400	0.293686	
heap	C	800	1.282676	
heap	C	1600	5.807261	
heap	C	3200	21.758938	
heap	Java	100	1.0	
heap	Java	200	2.0	
heap	Java	400	3.0	
heap	Java	800	4.0	
heap	Java	1600	9.0	
heap	Java	3200	30.0	
heap	Python	100		1630976
heap	Python	200		1630976
heap	Python	400		1630976
heap	Python	800		1630976
heap	Python	1600		1630992
heap	Python	3200		1630992
heap	C	100		6704
heap	C	200		9608
heap	C	400		19208
heap	C	800		38408
heap	C	1600		76808
heap	C	3200		153608
heap	Java	100		32768848
heap	Java	200		32873464
heap	Java	400		32878720
heap	Java	800		33214656
heap	Java	1600		35616688
heap	Java	3200		32974512
